Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*,
Emulsion,Decolite 10L Brilliant White,Decolite 10L Brilliant White,Decolite 10L Brilliant White,0,0,Emulsion,
Emulsion,Decolite 20L Brilliant White,Decolite 20L Brilliant White,Decolite 20L Brilliant White,0,0,Emulsion,
Kansai,Kansai B/W Emulsion 1L,Kansai B/W Emulsion 1L,Kansai B/W Emulsion 1L,0,0,Emulsion,
Kansai,Kansai B/W Emulsion 4L,Kansai B/W Emulsion 4L,Kansai B/W Emulsion 4L,0,0,Emulsion,
Kansai,Kansai B/W Emulsion 10L,Kansai B/W Emulsion 10L,Kansai B/W Emulsion 10L,0,0,Emulsion,
Kansai ,Kansai B/W Emulsion 20L,Kansai B/W Emulsion 20L,Kansai B/W Emulsion 20L,0,0,Emulsion,
Sanstha Emulsion,Sanstha Emulsion (B/W) 1 L,Sanstha Emulsion (B/W) 1 L,Sanstha Emulsion (B/W) 1 L,0,0,Emulsion,
Sanstha Emulsion,Sanstha Emulsion (B/W) 4 L,Sanstha Emulsion (B/W) 4 L,Sanstha Emulsion (B/W) 4 L,0,0,Emulsion,
Sanstha Emulsion,Sanstha Emulsion (B/W) 10 L,Sanstha Emulsion (B/W) 10 L,Sanstha Emulsion (B/W) 10 L,0,0,Emulsion,
Sanstha Emulsion,Sanstha Emulsion (B/W) 20 L,Sanstha Emulsion (B/W) 20 L,Sanstha Emulsion (B/W) 20 L,0,0,Emulsion,
Sanstha Emulsion,Sanstha Emulsion B/W (Exterior) 1L,Sanstha Emulsion B/W (Exterior) 1L,Sanstha Emulsion B/W (Exterior) 1L,0,0,Emulsion,
Sanstha Emulsion,Sanstha Emulsion B/W (Exterior) 4L,Sanstha Emulsion B/W (Exterior) 4L,Sanstha Emulsion B/W (Exterior) 4L,0,0,Emulsion,
Weather shield,Decolite weather shield B/W 4Ltr,Decolite weather shield B/W 4Ltr,Decolite weather shield B/W 4Ltr,0,0,Weather shield,
Weather shield,Decolite weather shield B/W 10Ltr,Decolite weather shield B/W 10Ltr,Decolite weather shield B/W 10Ltr,0,0,Weather shield,
Weather shield,Decolite weather shield B/W 20Ltr,Decolite weather shield B/W 20Ltr,Decolite weather shield B/W 20Ltr,0,0,Weather shield,
Kansai,Kansai Weather Shield 1L,Kansai Weather Shield 1L,Kansai Weather Shield 1L,0,0,Weather shield,
Kansai,Kansai Weather Shield 4L,Kansai Weather Shield 4L,Kansai Weather Shield 4L,0,0,Weather shield,
Kansai,Kansai Weather Shield 10L,Kansai Weather Shield 10L,Kansai Weather Shield 10L,0,0,Weather shield,
Kansai,Kansai Weather Shield 20L,Kansai Weather Shield 20L,Kansai Weather Shield 20L,0,0,Weather shield,
Weather shield,Robbialac Weather Shield Spruce 1L,Robbialac Weather Shield Spruce 1L,Robbialac Weather Shield Spruce 1L,0,0,Weather shield,
Weather shield,Robbialac Weather Shield Spruce 4L,Robbialac Weather Shield Spruce 4L,Robbialac Weather Shield Spruce 4L,0,0,Weather shield,
weather shield,Robbialac weather shield Black 1L,Robbialac weather shield Black 1L,Robbialac weather shield Black 1L,0,0,Weather shield,
