Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
PD_000001,Melwa Gypsum,Boards for partitions and mouldings . (not waterproof),Melwa Gypsum,2600,2850,8 x 4
PD_000003,Sample Product,Sample Product,Sample Product,500,800,9 x 4
PD_000004,4.5mm  Calcium Cilicate,El Toro Branded calcium cilicate  boards for partition and ceiling ,4.5mm  Calcium Cilicate,2478,2700,10 x 4
PD_000005,6mm Calcium Cilicate,El Toro Branded calcium Cilicate  boards for partition and ceiling ,6mm Calcium Cilicate,3355,3700,11 x 4
PD_000006,9mm Calcium Cilicate,El Toro Branded calcium Cilicate  boards for partition and ceiling ,9mm Calcium Cilicate,5025,5450,12 x 4
PD_000007,Melwa Gypsum 2 x 2 MP 01," Building finish material for walls, ceilings, and partitions. Safety instructions  Wear suitable eye and skin protection. Storage instructions Must be stored in dry conditions.
  low cost, Ease of installation and finishing  , Sound control.",Melwa Gypsum 2 x 2 MP 01,280,340,13 x 4
PD_000008,12mm Shutter Board,specially formulated composite panel that has been developed for concrete shuttering and formwork applications. The panel is finished with a phenolic overlay and edge sealed.,12mm Shutter Board,0,12750,14 x 4
PD_000009,15mm Shutter Board,specially formulated composite panel that has been developed for concrete shuttering and formwork applications. The panel is finished with a phenolic overlay and edge sealed.,15mm Shutter Board,0,14500,15 x 4
PD_000010,18mm Shutter Board,specially formulated composite panel that has been developed for concrete shuttering and formwork applications. The panel is finished with a phenolic overlay and edge sealed.,18mm Shutter Board,0,17500,16 x 4
PD_000011,Melwa Gypsum 2 x 2 MP 02A," Building finish material for walls, ceilings, and partitions. Safety instructions  Wear suitable eye and skin protection. Storage instructions Must be stored in dry conditions.
 low cost, Ease of installation and finishing  , Sound control.",Melwa Gypsum 2 x 2 MP 02A,280,340,17 x 4
PD_000012,Melwa Gypsum 2 x 2 MP 04," Building finish material for walls, ceilings, and partitions. Safety instructions  Wear suitable eye and skin protection. Storage instructions Must be stored in dry conditions.  low cost, Ease of installation and finishing  , Sound control.",Melwa Gypsum 2 x 2 MP 04,280,340,18 x 4
