Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
910,36-910,,,,,Default Sub category
972,36-972,,,,,Default Sub category
973,36-973,,,,,Default Sub category
1070,38-1070,,,,,Default Sub category
1074,38-1074,,,,,Default Sub category
1067,40-1067,,,,,Default Sub category
1071,40-1071,,,,,Default Sub category
1075,40-1075,,,,,Default Sub category
1068,42-1068,,,,,Default Sub category
1072,42-1072,,,,,Default Sub category
1076,42-1076,,,,,Default Sub category
597,234-597,,,,,Default Sub category
1583,999-1583,,,,,Default Sub category
1585,999-1585,,,,,Default Sub category
638,08 D Skirt-638,,,,,Default Sub category
1090,22 SIL-1090,,,,,Default Sub category
908,"22, 24, 26-908",,,,,Default Sub category
588,234 XL-588,,,,,Default Sub category
1091,24 SIL-1091,,,,,Default Sub category
1092,26 SIL-1092,,,,,Default Sub category
1135,28 DG Bra (Beige)-1135,,,,,Default Sub category
1127,28 DG Bra (Black)-1127,,,,,Default Sub category
1119,28 DG Bra (White)-1119,,,,,Default Sub category
1093,28 SIL-1093,,,,,Default Sub category
909,"28, 34-909",,,,,Default Sub category
1136,30 DG Bra (Beige)-1136,,,,,Default Sub category
1128,30 DG Bra (Black)-1128,,,,,Default Sub category
1120,30 DG Bra (White)-1120,,,,,Default Sub category
1094,30 SIL-1094,,,,,Default Sub category
1137,32 DG Bra (Beige)-1137,,,,,Default Sub category
1129,32 DG Bra (Black)-1129,,,,,Default Sub category
1121,32 DG Bra (White)-1121,,,,,Default Sub category
1095,32 SIL-1095,,,,,Default Sub category
1138,34 DG Bra (Beige)-1138,,,,,Default Sub category
1130,34 DG Bra (Black)-1130,,,,,Default Sub category
1122,34 DG Bra (White)-1122,,,,,Default Sub category
1096,34 SIL-1096,,,,,Default Sub category
1139,36 DG Bra (Beige)-1139,,,,,Default Sub category
1140,38 DG Bra (Beige)-1140,,,,,Default Sub category
1132,38 DG Bra (Black)-1132,,,,,Default Sub category
1124,38 DG Bra (White)-1124,,,,,Default Sub category
1097,38 SIL-1097,,,,,Default Sub category
482,"38, 40, 42,44,-482",,,,,Default Sub category
1603,4 x 6 Met-1603,,,,,Default Sub category
1141,40 DG Bra (Beige)-1141,,,,,Default Sub category
1133,40 DG Bra (Black)-1133,,,,,Default Sub category
1125,40 DG Bra (White)-1125,,,,,Default Sub category
1062,40 Focus-1062,,,,,Default Sub category
1098,40 SIL-1098,,,,,Default Sub category
479,40 TS-479,,,,,Default Sub category
480,41 TS-480,,,,,Default Sub category
1142,42 DG Bra (Beige)-1142,,,,,Default Sub category
1134,42 DG Bra (Black)-1134,,,,,Default Sub category
1126,42 DG Bra (White)-1126,,,,,Default Sub category
1063,42 Focus-1063,,,,,Default Sub category
1099,42 SIL-1099,,,,,Default Sub category
1064,44 Focus-1064,,,,,Default Sub category
594,456 XL-594,,,,,Default Sub category
1112,50 Boy's West-1112,,,,,Default Sub category
1113,50 Boy's West-1113,,,,,Default Sub category
1114,55 Boy's West-1114,,,,,Default Sub category
1115,55 Boy's West-1115,,,,,Default Sub category
1116,65 Boy's West-1116,,,,,Default Sub category
1117,70 Boy's West-1117,,,,,Default Sub category
1118,70 Boy's West-1118,,,,,Default Sub category
1079,75 DJ White-1079,,,,,Default Sub category
1080,80 DJ White-1080,,,,,Default Sub category
1084,80 DJ White-1084,,,,,Default Sub category
1087,80 DJ White-1087,,,,,Default Sub category
1081,85 DJ White-1081,,,,,Default Sub category
1085,85 DJ White-1085,,,,,Default Sub category
1082,90 DJ White-1082,,,,,Default Sub category
1086,90 DJ White-1086,,,,,Default Sub category
1088,90 DJ White-1088,,,,,Default Sub category
1083,95 DJ White-1083,,,,,Default Sub category
1089,95 DJ White-1089,,,,,Default Sub category
388,B. Denium-388,,,,,Default Sub category
389,B. Denium-389,,,,,Default Sub category
587,"B. M/L, XL-587",,,,,Default Sub category
451,B.T.-451,,,,,Default Sub category
589,B.U.-589,,,,,Default Sub category
603,Baby Frock-603,,,,,Default Sub category
560,Baby Item-560,,,,,Default Sub category
577,Baby Item-577,,,,,Default Sub category
578,Baby Item-578,,,,,Default Sub category
579,Baby Item-579,,,,,Default Sub category
580,Baby Item-580,,,,,Default Sub category
581,Baby Item-581,,,,,Default Sub category
582,Baby Item-582,,,,,Default Sub category
583,Baby Item-583,,,,,Default Sub category
584,Baby Item-584,,,,,Default Sub category
553,Baby Panal-553,,,,,Default Sub category
849,Baby Set-849,,,,,Default Sub category
566,Baby Short-566,,,,,Default Sub category
731,Baby Suit-731,,,,,Default Sub category
732,Baby Suit-732,,,,,Default Sub category
733,Baby Suit-733,,,,,Default Sub category
734,Baby Suit-734,,,,,Default Sub category
735,Baby Suit-735,,,,,Default Sub category
736,Baby Suit-736,,,,,Default Sub category
