Barcode *,ItemName *,CurrentQty,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
01,T-Shirt,42,325.00,650.00,
01,T-Shirt,75,325.00,650.00,
01,T-Shirt,30,352.27,890.00,
021,LEDIS PENT,67,990.00,1590.00,
022,LEDIS PENT,57,1100.00,1690.00,
23,LEDIS PENT,41,1100.00,1860.00,
24,LEDIS PENT,17,990.00,1795.00,
24,LEDIS PENT,24,1283.33,2485.00,
40,BUIOUSE,24,1150.00,1790.00,
41,BUIOUSE,20,950.00,1590.00,
43,BUIOUSE M L XI,53,1150.00,1860.00,
44,BLOUSE 2XL,17,1125.00,1790.00,
45,BUIOUSE  3XL,18,1150.00,1790.00,
45,BUIOUSE  3XL,0,1150.00,1790.00,
46,BUIOUSE  4XL,19,1150.00,1890.00,
45,BUIOUSE  3XL,5,1150.00,1790.00,
24,LEDIS PENT,9,1125.00,1790.00,
46,BUIOUSE  4XL,3,1150.00,1890.00,
42,BUIOUSE,0,1150.00,1790.00,
43,BUIOUSE M,18,1125.00,1790.00,
50,BUIOUSE L,17,1125.00,1790.00,
60,CHECK BLOUSE M,14,1100.00,1790.00,
61,CHECK BLOUSE L,7,1100.00,1790.00,
63,CHECK BLOUSE 2XL,8,1100.00,1790.00,
64,CHECK BLOUSE 3XL,8,1250.00,1870.00,
62,CHECK BLOUSE XL,8,1250.00,1790.00,
65,CHECK BLOUSE 4XL,8,1250.00,1890.00,
53,WHITE BLOUSE  M,0,990.00,1690.00,
54,WHITE BLOUSE  L,4,990.00,1690.00,
55,WHITE BLOUSE  XL,4,990.00,1690.00,
56,WHITE BLOUSE  2XL,0,990.00,1690.00,
57,WHITE BLOUSE  3XL,2,990.00,1690.00,
58,WHITE BLOUSE  4XL,3,990.00,1690.00,
150,LONG SKIRT,9,1690.00,2595.00,
66,BLOUSE  LS,24,1275.00,1890.00,
67,BUIOUSE  LS,31,1290.00,1990.00,
68,BUIOUSE  SS,8,1275.00,1890.00,
69,BUIOUSE  SS,8,990.00,1595.00,
70,BUIOUSE  SS,31,990.00,1660.00,
71,BUIOUSE  SS,13,1250.00,1860.00,
72,BUIOUSE  SS,16,1290.00,1950.00,
90,T0P WHITE,8,1750.00,2690.00,
91,T0P WHITE,9,1850.00,2790.00,
95,BLOUSE,0,950.00,1560.00,
96,BLOUSE,1,1150.00,1790.00,
97,BLOUSE,7,1250.00,1890.00,
200,T SHIRT,70,390.00,590.00,
201,GIRL T SHIRT,17,950.00,1365.00,
4792081022229,GLOW LOVELY ADVANCED MULTI VITAMIN,12,193.00,220.00,
4792081019328,GLOW LOVELY ADVANCED MULTI VITAMIN,0,336.00,385.00,
4792081019328,GLOW LOVELY ADVANCED MULTI VITAMIN,0,567.00,650.00,
4792081014828,AYURVEDIC,6,544.00,645.00,
4792081014804,UNILEVER,9,598.00,685.00,
4792081014804,UNILEVER,0,921.00,1055.00,
4792081014804,UNILEVER,0,487.00,585.00,
4792081019113,PEARS,11,314.00,360.00,
4792081019243,PEARS COLON 100ML,7,436.00,500.00,
