Barcode *,ItemName *,CurrentQty,ProdPurchasePrice *,ProdSellPrice*
1,T-Shirt,42,325,650
1,T-Shirt,75,325,650
1,T-Shirt,30,352.27,890
21,LEDIS PENT,67,990,1590
22,LEDIS PENT,57,1100,1690
23,LEDIS PENT,41,1100,1860
24,LEDIS PENT,17,990,1795
24,LEDIS PENT,24,1283.33,2485
40,BUIOUSE,24,1150,1790
41,BUIOUSE,20,950,1590
43,BUIOUSE M L XI,53,1150,1860
44,BLOUSE 2XL,17,1125,1790
45,BUIOUSE  3XL,18,1150,1790
45,BUIOUSE  3XL,0,1150,1790
46,BUIOUSE  4XL,19,1150,1890
45,BUIOUSE  3XL,5,1150,1790
24,LEDIS PENT,9,1125,1790
46,BUIOUSE  4XL,3,1150,1890
42,BUIOUSE,0,1150,1790
43,BUIOUSE M,18,1125,1790
50,BUIOUSE L,17,1125,1790
60,CHECK BLOUSE M,14,1100,1790
61,CHECK BLOUSE L,7,1100,1790
63,CHECK BLOUSE 2XL,8,1100,1790
64,CHECK BLOUSE 3XL,8,1250,1870
62,CHECK BLOUSE XL,8,1250,1790
65,CHECK BLOUSE 4XL,8,1250,1890
53,WHITE BLOUSE  M,0,990,1690
54,WHITE BLOUSE  L,4,990,1690
55,WHITE BLOUSE  XL,4,990,1690
56,WHITE BLOUSE  2XL,0,990,1690
57,WHITE BLOUSE  3XL,2,990,1690
58,WHITE BLOUSE  4XL,3,990,1690
150,LONG SKIRT,9,1690,2595
66,BLOUSE  LS,24,1275,1890
67,BUIOUSE  LS,31,1290,1990
68,BUIOUSE  SS,8,1275,1890
69,BUIOUSE  SS,8,990,1595
70,BUIOUSE  SS,31,990,1660
71,BUIOUSE  SS,13,1250,1860
72,BUIOUSE  SS,16,1290,1950
90,T0P WHITE,8,1750,2690
91,T0P WHITE,9,1850,2790
95,BLOUSE,0,950,1560
96,BLOUSE,1,1150,1790
97,BLOUSE,7,1250,1890
200,T SHIRT,70,390,590
201,GIRL T SHIRT,17,950,1365
4792080000000,GLOW LOVELY ADVANCED MULTI VITAMIN,12,193,220
4792080000000,GLOW LOVELY ADVANCED MULTI VITAMIN,0,336,385
