Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
01,T-Shirt,,,325.00,650.00,
01,T-Shirt,,,325.00,650.00,
01,T-Shirt,,,352.27,890.00,
021,LEDIS PENT,,,990.00,1590.00,
022,LEDIS PENT,,,1100.00,1690.00,
23,LEDIS PENT,,,1100.00,1860.00,
24,LEDIS PENT,,,990.00,1795.00,
24,LEDIS PENT,,,1283.33,2485.00,
40,BUIOUSE,,,1150.00,1790.00,
41,BUIOUSE,,,950.00,1590.00,
43,BUIOUSE M L XI,,,1150.00,1860.00,
44,BLOUSE 2XL,,,1125.00,1790.00,
45,BUIOUSE  3XL,,,1150.00,1790.00,
45,BUIOUSE  3XL,,,1150.00,1790.00,
46,BUIOUSE  4XL,,,1150.00,1890.00,
45,BUIOUSE  3XL,,,1150.00,1790.00,
24,LEDIS PENT,,,1125.00,1790.00,
46,BUIOUSE  4XL,,,1150.00,1890.00,
42,BUIOUSE,,,1150.00,1790.00,
43,BUIOUSE M,,,1125.00,1790.00,
50,BUIOUSE L,,,1125.00,1790.00,
60,CHECK BLOUSE M,,,1100.00,1790.00,
61,CHECK BLOUSE L,,,1100.00,1790.00,
63,CHECK BLOUSE 2XL,,,1100.00,1790.00,
64,CHECK BLOUSE 3XL,,,1250.00,1870.00,
62,CHECK BLOUSE XL,,,1250.00,1790.00,
65,CHECK BLOUSE 4XL,,,1250.00,1890.00,
53,WHITE BLOUSE  M,,,990.00,1690.00,
54,WHITE BLOUSE  L,,,990.00,1690.00,
55,WHITE BLOUSE  XL,,,990.00,1690.00,
56,WHITE BLOUSE  2XL,,,990.00,1690.00,
57,WHITE BLOUSE  3XL,,,990.00,1690.00,
58,WHITE BLOUSE  4XL,,,990.00,1690.00,
150,LONG SKIRT,,,1690.00,2595.00,
66,BLOUSE  LS,,,1275.00,1890.00,
67,BUIOUSE  LS,,,1290.00,1990.00,
68,BUIOUSE  SS,,,1275.00,1890.00,
69,BUIOUSE  SS,,,990.00,1595.00,
70,BUIOUSE  SS,,,990.00,1660.00,
71,BUIOUSE  SS,,,1250.00,1860.00,
72,BUIOUSE  SS,,,1290.00,1950.00,
90,T0P WHITE,,,1750.00,2690.00,
91,T0P WHITE,,,1850.00,2790.00,
95,BLOUSE,,,950.00,1560.00,
96,BLOUSE,,,1150.00,1790.00,
97,BLOUSE,,,1250.00,1890.00,
200,T SHIRT,,,390.00,590.00,
201,GIRL T SHIRT,,,950.00,1365.00,
4792081022229,GLOW LOVELY ADVANCED MULTI VITAMIN,,,193.00,220.00,
4792081019328,GLOW LOVELY ADVANCED MULTI VITAMIN,,,336.00,385.00,
4792081019328,GLOW LOVELY ADVANCED MULTI VITAMIN,,,567.00,650.00,
4792081014828,AYURVEDIC,,,544.00,645.00,
4792081014804,UNILEVER,,,598.00,685.00,
4792081014804,UNILEVER,,,921.00,1055.00,
4792081014804,UNILEVER,,,487.00,585.00,
4792081019113,PEARS,,,314.00,360.00,
4792081019243,PEARS COLON 100ML,,,436.00,500.00,
4792081019106,BABY COLON 100ML,,,502.00,575.00,
4792081025459,PONDS 100GM,,,475.00,530.00,
4792081018970,PEARS BABY CREAM 100ML,,,314.00,360.00,
4792081018963,PEARS BABY CREAM 100ML BEDTIME,,,323.00,370.00,
4792081018932,PEARS BABY CREAM 100ML GENTLE,,,314.00,360.00,
4792081019021,PEARS BABY CREAM 100ML VENIVEL,,,314.00,360.00,
4792081022403,CLEAR MENTHOL SHAMPO,,,807.00,900.00,
4792081022397,CLEAR MENTHOL SHAMPO,,,439.00,490.00,
4792081022410,CLEAR SHAMPOO,,,421.00,470.00,
4792081022366,CLEAR  SHAMPO,,,780.00,870.00,
4792081020706,LUX  BODY  WASH,,,544.00,650.00,
4792081018956,PEARS 50ML BABY  CREEM,,,157.00,180.00,
4792081029952,HAIR BODY WASH 100ML,,,250.00,300.00,
4792081029945,PEARS BABY  OIL 100 ML,,,310.00,365.00,
4792081019212,BABY TALC,,,282.00,315.00,
4792081020850,LEVER AYUSH,,,1040.00,1215.00,
4792081029242,AYUSH FACE CREAM,,,205.00,235.00,
4792081031900,PONDS  FACEWASH,,,595.00,670.00,
4792081020843,LEVER AYUSH 25GM,,,410.00,470.00,
4792081032761,NATURAL GLOW FACE CREAM 25GM,,,423.00,485.00,
4792081014828,LOVELY AYURVEDIC CARE 25GMJ,,,575.00,645.00,
4792081014750,HHANDSOME,,,487.00,585.00,
4796018000564,CHITRAMALA,,,105.00,150.00,
4796005140174,PITCHAMALA,,,60.00,100.00,
4796018000106,SAPTHAMI,,,105.00,150.00,
4792054006324,BABY GIFT,,,1147.00,1350.00,
4792054014022,BABY COLON 200ML,,,756.00,890.00,
4792054001602,BABY COLON 100ML,,,484.00,570.00,
4792054001718,BABY COLON 50ML,,,306.00,360.00,
4792054001718,BABY COLON 50ML,,,306.00,360.00,
4792054006003,BABY WOSH 100ML,,,246.00,290.00,
4792054008946,BABY WOSH 50ML,,,127.00,150.00,
4792054001725,BABY TALC 100G,,,212.00,250.00,
4792054015906,BABY LOSAN 100 ML,,,306.00,360.00,
4792054006201,BABY. CREAM 100M,,,280.00,330.00,
4792054006195,BABY LOSAN 100 ML,,,425.00,500.00,
4792054006171,BABY COLON 100 ML MATHARS,,,425.00,500.00,
4792054006287,BABY COLON 50ML,,,238.00,280.00,
4792054013537,BABY CREAM 50M,,,148.00,175.00,
4792054006034,BABY SHAMPOO 200M,,,416.00,490.00,
4792054017269,BABY COLON 50M,,,238.00,280.00,
4792054014268,BABY OIL 50M,,,221.00,260.00,
4792054014312,Panda Baby Cream 100ml,,,280.00,330.00,
4792054013995,BABY OIL,,,399.00,470.00,
4792054017252,BABY COLON,,,425.00,500.00,
4792054006027,BABY SHAMPOO 100ML,,,238.00,280.00,
213,BOYS SKINY,,,450.00,690.00,
214,SKYNI,,,625.00,995.00,
216,SKINY,,,520.00,865.00,
217,SKINY,,,650.00,1090.00,
218,SKINY,,,500.00,880.00,
219,BOY T SHIRT,,,475.00,850.00,
220,BOY T SHIRT,,,745.00,1290.00,
221,BOY T SHIRT,,,1190.00,1890.00,
222,BOY T SHIRT,,,620.00,990.00,
223,BOY T SHIRT,,,790.00,1170.00,
224,BOY T SHIRT,,,845.00,1390.00,
225,KIDS SUIT,,,520.00,790.00,
226,KIDS SUIT,,,690.00,1175.00,
228,KIDS SUIT,,,895.00,1290.00,
229,KIDS SUIT,,,625.00,995.00,
230,KIDS SUIT,,,825.00,1290.00,
231,KIDS SUIT,,,525.00,790.00,
232,KIDS SUIT,,,325.00,575.00,
233,KIDS SUIT,,,495.00,950.00,
234,KIDS SUIT,,,650.00,990.00,
235,KIDS SUIT,,,875.00,1390.00,
236,KIDS SUIT,,,790.00,1265.00,
237,KIDS SUIT,,,990.00,1595.00,
238,KIDS SUIT,,,1100.00,1690.00,
239,KIDS SUIT,,,950.00,1490.00,
240,KIDS SUIT,,,950.00,1590.00,
241,KIDS SUIT,,,590.00,860.00,
242,KIDS SUIT,,,590.00,880.00,
243,KIDS SUIT,,,1390.00,1990.00,
244,LADIES T. SHIRT,,,495.00,690.00,
245,LADIES T. SHIRT,,,1100.00,1790.00,
246,LADIES T. SHIRT,,,595.00,990.00,
247,LADIES T. SHIRT,,,895.00,1345.00,
248,LADIES T. SHIRT,,,950.00,1470.00,
249,LADIES T. SHIRT,,,790.00,1260.00,
250,LADIES T. SHIRT,,,695.00,990.00,
251,LADIES T. SHIRT,,,995.00,1690.00,
252,LADIES T. SHIRT,,,995.00,1550.00,
253,LADIES T. SHIRT,,,890.00,1390.00,
254,LADIES T. SHIRT,,,410.00,790.00,
255,LADIES T. SHIRT,,,790.00,1290.00,
256,LADIES T. SHIRT,,,790.00,1390.00,
257,LADIES T. SHIRT,,,790.00,1185.00,
258,LADIES T. SHIRT,,,750.00,1285.00,
227,KIDS SUIT,,,650.00,1090.00,
270,SKAT,,,1075.00,1780.00,
271,SKIRT,,,950.00,1690.00,
272,SKIRT,,,950.00,1490.00,
273,SKIRT,,,950.00,1390.00,
274,SKIRT,,,845.00,1295.00,
1374,TOWEL M,,,290.00,475.00,
1375,TOWEL L,,,375.00,595.00,
2200,BABY  ITAM,,,490.00,755.00,
1373,TOWEL M,,,280.00,475.00,
2000,SKIRT,,,1350.00,1950.00,
2001,SKIRT,,,850.00,1390.00,
2002,SKIRT,,,1650.00,2390.00,
2003,FROCK,,,1350.00,1990.00,
2004,SKIRT,,,1390.00,1950.00,
2005,SKIRT,,,890.00,1390.00,
2006,SKIRT,,,1390.00,1890.00,
