Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
BPALG001,ALGOLITH,,,0,"4,980.00",Beaphar
BPBNS002,BEA NURSING SET CAPS D,,,0,0,Beaphar
BPBBD003,BONE BUILDER 500G GB,,,0,"5,550.00",Beaphar
BPCMT004,CALCIUM TABS 180PC,,,0,"6,450.00",Beaphar
BPCLM005,CALMING TABLETS 20ST,,,0,"3,750.00",Beaphar
BPCPC006,CRUNCHY PASTE CAT 100G,,,0,0,Beaphar
BPDSM007,DENTAL STICKS SMALL,,,0,0,Beaphar
BPPDK008,PUPPY DENTAL KIT 50g+BRUSH,,,0,"4,550.00",Beaphar
BPDRC009,DRUCAL 250G,,,0,0,Beaphar
BPJPC010,DUO JUNIOR PASTE CAT,,,0,0,Beaphar
BPJPD011,DUO JUNIOR PASTE DOG 100G GB/CN,,,0,"2,850.00",Beaphar
BPFLB012,FRIANDISES LEVURE BIERRE,,,0,0,Beaphar
BPFBY013,FRIANDISES LEVURE BIERRE (BREWERS YEAST 100 TABS),,,0,"3,750.00",Beaphar
BPFTP014,FUNCTIONAL TREAT PATE,,,0,0,Beaphar
BPGTC015,GISTOCAL 250G,,,0,"3,950.00",Beaphar
BPGLP016,GLUCOSAMINE POWDER 300G,,,0,"8,950.00",Beaphar
BPGSS017,GLUCOSAMINE STICKS SMALL,,,0,0,Beaphar
BPGRS018,GRAPESUGAR 500G,,,0,0,Beaphar
BPHBP019,HAIRBALL PASTE 2IN1 100G,,,0,0,Beaphar
BPJTP020,JOINT PASTE 250G,,,0,0,Beaphar
BPJTT021,JOINT TABLETS 60PCS,,,0,"9,750.00",Beaphar
BPJNC022,JUNIORCAL 200G RUS/CZ/LV/UKR,,,0,"2,750.00",Beaphar
BPLTK023,LACTOL KITTEN 250G GB/CN/TR,,,0,"5,950.00",Beaphar
BPLPM024,LACTOL PUPPY 1KG,,,0,"18,750.00",Beaphar
BPLPS025,LACTOL PUPPY 250G,,,0,"5,750.00",Beaphar
BPLPL026,LACTOL PUPPY 2KG,,,0,0,Beaphar
BPMVP027,MULTI VITAMIN PASTE/DUO ACTIVE CAT 100G,,,0,0,Beaphar
BPPYP028,PUPPY PADS 14 PCS,,,0,"6,450.00",Beaphar
BPDK029,PUPPY DENTAL KIT,,,0,0,Beaphar
BPRSP030,ROCK SULPHUR,,,0,"1,450.00",Beaphar
BPSMO031,SALMON OIL 425ML GB,,,0,"5,650.00",Beaphar
BPSPD032,SALMON OIL PASTE H 100G-DOG,,,0,"2,850.00",Beaphar
BPSPC033,SALMON OIL PASTE H 100G-CAT,,,0,"2,850.00",Beaphar
BPMNF034,MUTTON FAT 425ML NL/F,,,0,"6,250.00",Beaphar
BPTCP035,TOOTH COMBIPACK 100G+BRUSH,,,0,"4,750.00",Beaphar
BPTGL036,TOOTHGEL 100G GB,,,0,"3,450.00",Beaphar
BPJTP037,TOOTHPASTE LIVER 100G,,,0,"2,850.00",Beaphar
BPJTP038,TOP 10 DOG 180TAB GB/ARA/TR,,,0,"3,950.00",Beaphar
BPJTP039,TOP 10 MULTI-VIT-TAB 750G,,,0,"11,850.00",Beaphar
BPJTP040,NURSING SET,,,0,0,Beaphar
VCCYC001,CAT YUMS CHEESE 40G * 9,,,0,"1,270.00",Beaphar
VCCYS002,CAT YUMS SALMON 40G * 9,,,0,"1,270.00",Beaphar
VCCCM003,CRISPY CRUNCH MALT 60G * 8,,,0,"1,150.00",Beaphar
