Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
RCSHN001,SHN STARTER MOUSSE 195g x 12,,,0,1350,RC
RCSHN002,SHN MINI STARTER M&B 1 KG,,,0,5450,RC
RCSHN003,SHN MINI STARTER M&B 4KG,,,0,16550,RC
RCSHN004,SHN MINI PUPPY 2KG,,,0,8550,RC
RCSHN005,SHN MINI PUPPY 85g x12,,,0,354,RC
RCSHN006,SHN MINI ADULT 4KG,,,0,12850,RC
RCSHN007,SHN MEDIUM STATER 4KG,,,0,13850,RC
RCSHN008,SHN MEDIUM PUPPY 1KG,,,0,3950,RC
RCSHN009,SHN MEDIUM ADULT 4KG,,,0,12850,RC
RCSHN010,SHN MEDIUM ADULT 10KG,,,0,29500,RC
RCSHN011,SHN MAXI START M&B 4KG,,,0,13850,RC
RCSHN012,SHN MAXI START M&B 15KG,,,0,38800,RC
RCSHN013,SHN MAXI PUPPY 1 KG,,,0,3950,RC
RCSHN014,SHN MAXI PUPPY 4KG,,,0,13850,RC
RCSHN015,SHN MAXI PUPPY 10KG,,,0,28500,RC
RCSHN016,SHN MAXI PUPPY 15KG,,,0,38800,RC
RCSHN017,SHN MAXI ADULT 4KG,,,0,12850,RC
RCSHN018,SHN MAXI ADULT 10KG,,,0,28200,RC
RCSHN019,SHN MAXI ADULT 15KG,,,0,37500,RC
RCSHN020,SHN MAXI ADULT 5+ 4KG,,,0,12850,RC
RCSHN021,SHN GIANT STARTER 1 KG,,,0,3950,RC
RCSHN022,SHN GIANT STARTER M&B 3.5KG,,,0,13850,RC
RCSHN023,SHN GIANT STARTER 15KG,,,0,38800,RC
RCSHN024,SHN GIANT PUPPY 1 KG,,,0,3950,RC
RCSHN025,SHN GIANT PUPPY 3.5KG,,,0,13850,RC
RCSHN026,SHN GIANT PUPPY 15KG,,,0,38800,RC
RCSHN027,SHN GIANT PUPPY 17KG,,,0,38800,RC
RCPROM01,RC DOG LEASH,,,0,0,RC
RCSHN029,SHN GIANT ADULT 15KG,,,0,37500,RC
RCBHN030,BHN PUG PUPPY 1.5 KG,,,0,6950,RC
RCBHN031,BHN PUG ADULT 1.5 KG,,,0,6450,RC
RCBHN032,BHN SHIH TZU PUPPY 1.5KG,,,0,6550,RC
RCBHN033,BHN SHIH TZU ADULT 1.5KG,,,0,6150,RC
RCBHN034,BHN CHIHUAHUA PUPPY 500 G,,,0,0,RC
RCBHN035,BHN CHIHUAHUA PUPPY 1.5KG,,,0,0,RC
RCBHN036,BHN CHIHUAHUA ADULT 500 G,,,0,0,RC
RCBHN037,BHN CHIHUAHUA ADULT 1.5KG,,,0,0,RC
RCBHN038,BHN CHIHUAHUA LOAF 12X85G S,,,0,729,RC
RCBHN039,POODLE LOAF 12X85G S,,,0,729,RC
RCBHN040,BHN BULLDOG PUPPY 3KG,,,0,11450,RC
RCBHN041,BHN BULLDOG ADULT 3KG,,,0,10850,RC
RCBHN042,BHN BEGALE ADULT 3KG,,,0,10850,RC
RCBHN043,BHN COCKER PUPPY 3 KG,,,0,0,RC
RCBHN044,BHN COCKER ADULT 3KG,,,0,0,RC
RCBHN045,BHN GOLDEN RETRIEVER PUPPY 1KG,,,0,3950,RC
RCBHN046,BHN GOLDEN RETRIEVER PUPPY 3KG,,,0,11450,RC
RCBHN047,BHN GOLDEN RETRIEVER PUPPY 12KG,,,0,38500,RC
RCBHN048,BHN GOLDEN RETRIEVER ADULT 3KG,,,0,10850,RC
RCBHN049,BHN GOLDEN RETRIEVER ADULT 12KG,,,0,37500,RC
RCBHN050,BHN LABRADOR PUPPY 1KG,,,0,3950,RC
RCBHN051,BHN LABRADOR PUPPY 3KG,,,0,11450,RC
RCBHN052,BHN LABRADOR PUPPY 12KG,,,0,38500,RC
RCBHN053,BHN LABRADOR ADULT 3KG,,,0,10850,RC
RCBHN054,BHN LABRADOR ADULT 12KG,,,0,37500,RC
