Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
84596305,Pink Indian Earings with Stones,,,425,950,Earings
84596306,Red Indian Earings with Stones,,,425,950,Earings
84596307,Heart Shaped Mini earing,,,50,350,Earings
84596308,Oval Shaped Mini Earing - Black,,,50,350,Earings
84596309,Oval shaped Mini Earing - Cream ,,,50,350,Earings
84596310,Gold Ancklet,,,253,390,Ancklets
84596311,Designed Ancklets,,,290,490,Ancklets
84596312,Silver Round Earings with Leaf,,,252,550,Earings
84596313,Silver Earings with Circles,,,252,590,Earings
84596314,Silver Butterfly Earing with Stone,,,252,550,Earings
84596315,Gold Trangle Earing,,,252,550,Earings
84596316,Gold Stoned Party Earings ,,,800,1450,Earings
84596317,Black & Gold Double Plate Earings,,,275,590,Earings
84596318,White & Purple Small Flower Earings,,,375,560,Earings
84596319,Green Color Dual Stone Earings,,,375,650,Earings
84596320,Gold Neklace with Small Pendants,,,275,690,Necklace
84596321,Baby Pink Small Earings,,,275,550,Earings
84596322,White Two Trangle Shaped Earings,,,275,550,Earings
84596323,Gold & White Small Flower EaringS,,,275,550,Earings
84596324,Black Flower with White Pearl Earings,,,275,550,Earings
84596325,Gold Bangle with Design,,,750,1550,Bangles
84596326,Gold Bangle with Stones,,,850,1690,Bangles
84596327,Gold Necklace with Medium Stone Pendant,,,225,750,Necklace
84596328,Gold Necklace with Pendant,,,650,790,Necklace
84596329,Gold Necklace with Square Stone,,,450,690,Necklace
84596330,Glod Necklace with Lucky Leaf - Black,,,225,650,Necklace
84596331,Gold Mini Lucky Leaves Bracelet - Black,,,350,550,Bracelets
84596332,Gold Medium Lucky Leaves Bracelet - Black,,,350,650,Bracelets
84596333,White Stone Mini Earings,,,100,350,Earings
84596334,Black Stone Mini Earings,,,100,350,Earings
84596335,White Stone Earings - Men,,,120,450,Earings
84596336,Hello Kitty Mini Earings,,,150,450,Earings
84596337,Pink and White Hair Clips,,,83,560,Hair Clips
84596338,Mini Hair Clips,,,2.5,20,Hair Clips
84596339,Silver Color Necklace - Men,,,350,750,Necklace
84596340,Gold Color Necklace - Mens,,,350,760,Necklace
84596341,Scrunchies,,,73,250,Hair Bands
84596342,Big Flower Hair Clip,,,100,250,Hair Clips
84596343,Small Hair Clips with Bunny,,,153,490,Hair Clips
84596344,White Pearls Black Hair Band,,,46,120,Hair Bands
84596345,Color Hair Band with a Heart,,,66,190,Hair Bands
84596346,Red Cherry Earings,,,200,650,Earings
84596347,Indian Earing with Pearls,,,335,850,Earings
84596348,Round Gray Crystal Earings,,,225,550,Earings
84596349,Round Orange Crystal Earings,,,225,550,Earings
84596350,Round Red Crystal Earings,,,225,550,Earings
84596351,Black & White Butterfly Earings,,,160,490,Earings
84596352,Black & White Square Earings ,,,160,490,Earings
84596353,Round Black & White Pearl Earings,,,160,520,Earings
84596354,Round Crystal Balls Earings,,,160,550,Earings
84596355,Gold Star Earings,,,80,350,Earings
84596356,Pearl Mini Earing ,,,35,200,Earings
84596357,Silver Small Crown,,,350,850,Crowns
84596358,Silver Big Crown,,,365,1050,Crowns
84596359,Gold Small Crown,,,290,890,Crowns
84596360,Lucky Leaves Earings,,,250,550,Earings
84596361,Seashells Bracelet,,,250,490,Bracelets
84596362,Mini Round Crystal Earings,,,110,390,Earings
84596363,Snail Mini Earing with Stone,,,110,390,Earings
84596364,Almond Shaped Presson Nails with Art,,,150,690,Nails
84596365,Almond Shaped Presson Nails with Stones,,,200,790,Nails
84596366,Long Silver Earing with Diamonds  ,,,700,1550,Earings
84596367,Black & White Hair Clips with Stones,,,80,290,Hair Clips
84596368,Barbie Hair Clips - Brown,,,83,350,Hair Clips
84596369,Barbie Hair Clips - White,,,83,350,Hair Clips
84596370,Wrist Bands with Crystals,,,86,250,Wrist Bands
84596371,Araliya Hair Clip ,,,115,190,Hair Clips
84596372,Butterfly Hair Clip - Big,,,95,210,Hair Clips
84596373,Hair Clip with White Pearls ,,,95,350,Hair Clips
84596374,Heart Shaped Fluffy Hair Clip,,,77.5,190,Hair Clips
84596375,Square Shaped Fluffy Hair Clip,,,75,190,Hair Clips
84596376,Small Round Hair Clip,,,30,90,Hair Clips
