no,code,Barcode,category,item_name,cost_price_qty,purchase_price,Selling_price,qty,stock,dis_limit
26,1028,1028,Hair care,Hair Pins Swiss Card,50.00 - 100.00 - 0.000,50.00 , 100.00 , 0.000,0,50
27,1029,1029,Hair care,Hair Pins 8pis,15.00 - 30.00 - 0.000,15.00 , 30.00 , 0.000,0,20
28,1030,1030,Hair care,Hair Grips L,30.00 - 60.00 - 0.000,30.00 , 60.00 , 0.000,0,10
29,1031,1031,Hair care,Hair Grips S,25.00 - 50.00 - 0.000,25.00 , 50.00 , 0.000,0,0
30,1032,1032,Hair care,Hair Pins Pyramid,13.00 - 25.00 - 0.000,13.00 , 25.00 , 0.000,0,25
50,1052,1052,Hair care,Hair Loss Control K/ Shampoo 250ml,700.00 - 750.00 - 0.000,700.00 , 750.00 , 0.000,0,700
93,1096,1096,Hair care,Appale Wax 150ml,700.00 - 785.00 - 0.000,700.00 , 785.00 , 0.000,0,735
94,1097,1097,Hair care,Strawberry Wax 150ml ( Gsf,700.00 - 785.00 - 0.000,700.00 , 785.00 , 0.000,0,735
136,1141,1141,Hair care,Dreameron King Coconut,600.00 - 650.00 - 0.000,600.00 , 650.00 , 0.000,0,600
186,1193,1193,Hair care,Pathima Kesha Wardani,280.00 - 300.00 - 0.000,280.00 , 300.00 , 0.000,0,250
187,1195,1195,Hair care,Pathima Kesha Wardani,130.00 - 150.00 - 0.000,130.00 , 150.00 , 0.000,0,100
194,1202,1202,Hair care,Kumarika Save Pack Hair Oil,500.00 - 550.00 - 0.000,500.00 , 550.00 , 0.000,0,500
206,1214,1214,Hair care,Olive Oil 50ml,250.00 - 300.00 - 0.000,250.00 , 300.00 , 0.000,0,250
745,1237,1237,Skin care,Carotone whitening,750.00 - 1150.00 - 0.000,750.00 , 1150.00 , 0.000,0,1100
750,1242,1242,Skin care,Greea Tea Lipstick,90.00 - 225.00 - 0.000,90.00 , 225.00 , 0.000,0,175
751,1244,1244,Skin care,Lip Smacker,80.00 - 185.00 - 5.000,80.00 , 185.00 , 5.000,5,120
752,1245,1245,Skin care,Vc Dreamy Lipstick,100.00 - 225.00 - 11.000,100.00 , 225.00 , 11.000,11,175
756,1249,1249,Skin care,Himalaya Neem Face Wash,800.00 - 865.00 - 0.000,800.00 , 865.00 , 0.000,0,815
760,1253,1253,Skin care,Gluta White G/c Face Wash,1600.00 - 1690.00 - 0.000,1600.00 , 1690.00 , 0.000,0,1640
764,1257,1257,Skin care,Hudabeauty L-Pencil 3g,200.00 - 395.00 - 0.000,200.00 , 395.00 , 0.000,0,345
765,1258,1258,Skin care,Pencil (M),50.00 - 100.00 - 0.000,50.00 , 100.00 , 0.000,0,50
766,1259,1259,Skin care,Lup-Eye Liner Pencil,80.00 - 165.00 - 0.000,80.00 , 165.00 , 0.000,0,115
769,1262,1262,Skin care,Dulhan EyeLiner,150.00 - 365.00 - 0.000,150.00 , 365.00 , 0.000,0,315
770,1263,1263,Skin care,M/R Matte BatomStick,250.00 - 585.00 - 1.000,250.00 , 585.00 , 1.000,1,435
771,1264,1264,Skin care,H/B LipStick,250.00 - 585.00 - 0.000,250.00 , 585.00 , 0.000,0,535
2005,1265,1265,Makeup,Kryolan Foundation Ivory,900.00 - 2390.00 - 3.000,900.00 , 2390.00 , 3.000,3,1400
772,1267,1267,Skin care,Eyetex,25.00 - 50.00 - 0.000,25.00 , 50.00 , 0.000,0,0
